German,English
irre,crazy
spinnst,crazy
schaffen,create
schaffe,create
erschaffen,create
geschaffen,created
schafft,creates
schaff,creating
kreatur,creature
bach,creek
unheimlich,creepy
rief,cried
geweint,cried
verbrechen,crime
tatort,crime scene
verbrecher,criminal
krise,crisis
schief,crooked
kreuz,cross
krone,Crown
schreie,cry
weinen,cry
weine,cry
kultur,Culture
tasse,Cup
neugierig,curious
gespannt,curious; excited
laufenden,current
momentan,currently
fluch,curse
verflucht,cursed
brauch,custom
kunde,customer
kunden,Customers
getrennt,Cut
schnitt,cut
niedlich,cute
süßer,cutie pie
papi,daddy
schaden,damage
beschädigt,damaged
mist,damn
verdammt,damned
verdammte,damned
verdammten,damned
dan,Dan
tanz,dance
tanzt,dances
gefahr,danger
achtung,Danger
gefährlich,dangerous
daniel,Daniel
wagen,dare
dunkel,dark
dunkle,dark
dunklen,dark
dunkeln,dark
dunkelheit,Darkness
daten,Data
stammt,dates
tochter,daughter
töchter,daughters
david,David
tag,Day
tages,day
tage,days
tot,dead
tote,dead
toter,Dead
taub,deaf
zurecht,deal
lieber,Dear
lieb,dear
liebes,dear
tod,death
todes,death
tode,Deaths
betrüger,deceiver
anständig,decent
entscheiden,decide
entscheide,decide
entschieden,decided
beschlossen,decided
entscheidet,decides
entscheidung,decision
bescheid,decision
entscheidungen,decisions
erkläre,declare
abgelehnt,declined
tief,deep
besiegen,defeat
besiegt,defeated
verteidigen,defend
verteidigung,defense
definitiv,definitely
sicherlich,definitely
grad,Degree
verspätung,delay
gelöscht,deleted
bewusst,deliberately
köstlich,delicious
lecker,delicious
liefern,deliver
geliefert,delivered
lieferung,delivery
verlange,demand
dämon,demon
damon,demon
dämonen,demons
zeigen,demonstrate
bewiesen,demonstrated
abteilung,Department
einsetzen,deploy
kaution,deposit
tiefe,depth
beschreiben,describe
beschreibung,description
wüste,desert
verdiene,deserve
verlangen,desire
verzweifelt,desperate
vernichten,destroy
zerstört,destroyed
vernichtet,destroyed
zerstörung,destruction
erkennen,detect
bestimmen,determine
entschlossen,determined
entwickeln,develop
entwickelt,developed
entwicklung,development
gerät,device
geraten,devices
teufel,devil
diamanten,diamonds
diana,Diana
tagebuch,diary
tat,did
that,did
sterbe,die
stirbst,die
stirb,die
gestorben,died
starb,died
starben,died
diego,Diego
stirbt,dies
unterschied,difference
anders,different
verschiedenen,different
schwierig,difficult
grab,dig
graben,dig
abendessen,dinner
richtung,direction
direkt,directly
direktor,director
regisseur,Director
dreck,dirt
versaut,dirty
schmutzig,dirty
mistkerl,dirty swine
verschwinden,disappear
verschwinde,disappear
verschwunden,disappeared
verschwand,disappeared
verschwindet,disappears
enttäuschen,disappoint
enttäuscht,disappointed
abhalten,discourage
entdecken,discover
entdeckt,discovered
besprechen,discuss
besprochen,discussed
diskussion,discussion
widerlich,disgusting
ekelhaft,disgusting
eklig,disgusting
gericht,dish
entlassen,dismiss
störung,disorder
verzichten,dispense
anzeige,display
verfügung,disposal
abstand,distance
entfernung,distance
not,distress
verteilt,distributed
gestört,disturbed
stört,disturbs
taucht,dive
teilen,divide
scheidung,divorce
scheiden,divorce
geschieden,divorced
machen,do
tust,do
tue,do
anstellen,do
antun,do to
doktor,doctor
arzt,doctor
ärztin,doctor
ärzte,doctors
unterlagen,documents
dokumente,Documents
tut,does
hund,dog
hunde,dogs
machst,doing
taten,doings
puppe,Doll
don,Don
spenden,donate
getan,done
geschehen,done
erledigt,done
geleistet,done
angetan,done
tür,door
türen,doors
doppelt,double
zweifel,doubt
bezweifle,doubt
hin,down
runter,down
dutzend,dozen
drachen,dragon
dramatische,dramatic
trank,drank
nähern,draw closer
lade,drawer
gezogen,drawn
schrecklich,dreadful
traum,dream
träumen,dream
geträumt,dreamed
träume,dreams
kleid,dress
kleidung,dress
zog,drew
trinken,drink
trinke,drink
trinkst,drink
trink,drinking
trinkt,drinking
fahren,drive
getrieben,driven
fahrer,driver
führerschein,driver's license
treibt,drives
fahr,driving
tropfen,drops
fuhr,drove
medikamente,drug
drogen,drugs
betrunken,drunk
getrunken,drunk
trocken,dry
kumpel,Dude
herzog,duke
blödmann,dumbass
dummer,dumber
bestand,duration
staub,dust
jeden,each
jede,each
jedes,each
jedem,each
einzelnen,each
einander,each other
gegenseitig,each other
ohr,ear
graf,earl
früher,earlier
vorhin,earlier
früh,early
verdient,earned
verdienst,earnings
ohren,ears
erde,earth
erden,earth
einfacher,easier
osten,east
einfache,easy
essen,eat
esse,eat
fressen,eat
gegessen,eaten
isst,eats
frisst,eats
rand,edge
studiert,educated
wirkung,effect
mühe,effort
ei,egg
eier,eggs
acht,eight
achte,eighth
entweder,either
vergehen,elapse
kabel,electric wire
strom,electricity
aufzug,elevator
elf,eleven
verlegen,embarrassed
peinlich,embarrassing
botschaft,Embassy
notfall,emergency
emily,Emily
bewegt,emotional
gefühle,emotions
kaiser,Emperor
beschäftigt,employed
angestellt,employed
mitarbeiter,Employee
leer,empty
leere,empty
ende,end
enden,end up
endet,ends
aufhört,ends
feinde,enemies
feind,enemy
energie,energy
verlobt,engaged
motor,engine
england,England
Deutsch,English
englisch,English
engländer,English people
genießen,enjoy
angenehm,enjoyable
genossen,enjoyed
genug,enough
reicht,enough
schluss,Enough
genügt,enough
genügend,enough
eingehen,enter
einsteigen,enter
unterhaltung,entertainment
eingang,entrance
folge,episode
gleich,equal
gleichen,equal
ausrüstung,equipment
fehler,error
entkommen,escape
abgehauen,escape
besonders,especially
gründen,establish
schätzen,estimate
ewigkeit,eternity
euro,Euro
europa,Europe
abend,Eve
sogar,even
ereignisse,events
je,ever
jemals,ever
täglich,Every day
jeder,everyone
alles,everything
böse,evil
übel,evil
übertrieben,exaggerated
prüfung,exam
untersuchung,examination
untersucht,examined
beispiel,example
exzellenz,excellency
ausgezeichnet,excellent
außer,except
ausnahme,exception
aufgeregt,excited
begeistert,excited
aufregung,excitement
spannende,exciting
aufregend,exciting
ausflug,Excursion
entschuldigung,Excuse me
entschuldige,Excuse me
ausreden,excuses
befreit,exempt
übung,exercise
erschöpft,exhausted
existieren,exist
existenz,existence
ausgang,exit
erwarten,expect
erwarte,expect
erwartest,expect
werd,expectant
erwartet,expected
teuer,expensive
erfahrung,Experience
erleben,experience
erfahren,Experienced
erlebt,experienced
erklärt,explained
erklärung,Explanation
erklär,explanatory
explodiert,explodes
ausgesetzt,exposed
ausdruck,Expression
extrem,extreme
äußerst,extremely
auge,eye
augen,eyes
fabelhaft,fabulous
gesicht,face
gesichter,faces
erleichtert,facilitated
tatsache,fact
fabrik,factory
fakten,facts
versagt,failed
versager,failure
märchen,fairy tale
glaube,faith
fallen,fall
stürzen,fall
verlieben,falling in love
fällt,falls
falsche,false
falschen,false
falsches,false
ruhm,Fame
vertraut,familiar
familie,family
familien,Familys
berühmt,famous
schick,fancy
fantastisch,fantastic
fantasie,fantasy
weit,far
abschied,farewell
bauer,Farmer
bauern,farmers
weiterhin,Farther
faszinierend,fascinating
schnell,fast
schnelle,fast
fett,fat
schicksal,fate
vater,father
papa,father
vaters,father
pater,father
väter,fathers
schuld,fault
liebling,favorite
liebsten,favorite
liebste,favorite
angst,fear
fürchte,fear
furcht,fear
befürchte,fear
satt,Fed up
füttern,feed
fühle,feel
fühlen,feel
fühlst,feel
spüren,feel
spüre,feel
gefühl,feeling
fühl,feeling
fühlt,feels
füße,feet
füßen,feet
fiel,fell
schlief,fell asleep
eingeschlafen,fell asleep
bursche,fellow
gefühlt,felt
fühlte,felt
zaun,fence
fieber,fever
wenige,few
wenigen,few
feld,field
kämpfen,fight
streiten,fight
kämpfe,fight
kämpft,fight
bekämpfen,fight
kämpfer,fighter
figur,figure
akte,file
akten,files
filmen,film
endgültig,finally
finden,Find
finde,find
findest,find
herausfinden,find out
rausfinden,find out
findet,finds
prima,fine
fein,fine
bestraft,fined
fingerabdrücke,fingerprints
fertig,finished
feuer,Fire
brand,fire
gefeuert,fired
fest,firmly
erst,first
erste,first
ersten,first
zuerst,first
erster,first
erstes,first
erstens,first
zunächst,first
fisch,fish
fische,fishes
fang,fishing
angeln,fishing
angel,fishing rod
faust,fist
passt,fit
passen,fit
fünf,five
flammen,Flames
klappe,flap
wohnung,flat
geflohen,fled
fliehen,flee
flotte,fleet
fleisch,flesh
flog,flew
fliegt,flies
flucht,flight
flug,flight
treiben,float
stock,floor
florida,Florida
fluss,flow
blume,flower
blumen,flowers
geflogen,flown
fliege,Fly
konzentrieren,focus
nebel,fog
geklappt,folded
klappt,folds
verfolgen,follow
gefolgt,followed
folgendes,following
folgt,follows
nahrung,food
dummkopf,fool
narren,fool
narr,fool
fuß,foot
für,For
fürs,for
umsonst,for free
erstmal,for now
zurzeit,for now
sicher,for sure
dafür,for this
wofür,for what
jahrelang,for years
verboten,forbidden
kraft,force
gezwungen,forced
stirn,forehead
fremde,foreign
fremder,foreign
ausland,foreign countries
wald,Forest
ewig,forever
vergiss,forget
vergesse,forget
vergesst,forget
vergisst,forgets
verzeihen,forgive
verzeih,forgive
vergib,forgive
vergeben,forgive
verzeihung,forgiveness
vergebung,forgiveness
verzeiht,forgives
vergaß,forgot
bilden,form
glücklicher,fortunately
vorwärts,forward
gekämpft,fought
gestritten,fought
gefunden,found
fand,found
fanden,found
herausgefunden,found out
brunnen,Fountain
vier,four
frankreich,France
frei,free
freie,free
freier,free
freien,free
freiheit,freedom
französisch,French
franz,French
franzosen,French people
frisch,fresh
frische,fresh
freitag,Friday
kühlschrank,fridge
freund,friend
freundlich,friendly
befreundet,friendly
freunde,friends
freunden,friends
freundschaft,Friendship
erschreckt,frightened
ab,from
vom,from
davon,from that
daraus,from that
woher,from where
vorn,front
vorm,front
matt,frosted
fick,fuck
ficken,fuck
vögeln,fuck
gefickt,fucked
verdammter,fucking
verdammtes,fucking
erfüllen,fulfill
erfüllt,Fulfills
voll,full
volle,full
voller,full of
spaß,fun
funktionieren,function
beerdigung,funeral
lustig,funny
komisch,funny
witzig,funny
weitere,Further
wut,fury
zukunft,future
g,G
spiel,game
spiele,games
garten,garden
tor,gate
gab,gave
großzügig,generously
genie,genius
sachte,gently
sanft,gently
george,George
deutsche,German
deutschen,German
deutsch,German
german,German
deutschland,Germany
komme,get
hole,get
holt,get
kriegst,get
bekomme,get
bekommst,get
aussteigen,get out
loswerden,Get rid of
besorge,get you
bekommt,gets
kriegt,gets
geist,ghost
geister,ghosts
riesigen,giant
riesen,Giants
geschenk,gift
gabe,gift
gaben,gifts
geschenke,gifts
mädchen,girl
mädel,girl
freundin,girlfriend
freundinnen,girlfriends
mädels,girls
geben,give
gib,give
gebe,give
gibst,give
gebt,give
schenken,give
geb,give
gegeben,given
geschenkt,given
aufgegeben,given up
gibt,gives
froh,glad
gern,gladly
glas,Glass
brille,glasses
herrlich,gloriously
gehen,go
geh,go
gehe,go
hingehen,go forth
reingehen,go in
weitergehen,go on
rausgehen,go out
ausgehen,go out
durchgehen,go through
gott,God
gottes,god
götter,gods
geht,going
gehst,going
goldene,golden
guten,good
gutes,good
guter,goods
bekam,got
bekamen,got
gekriegt,got
kapiert,Got it
geheiratet,got married
muss,got to
muß,got to
regierung,government
gouverneur,governor
schnappen,grab
packt,grabs
gnade,grace
noten,grades
abschluss,graduation
großvater,grandfather
großmutter,grandmother
opa,Grandpa
enkel,grandson
oma,granny
gras,grass
dankbar,grateful
friedhof,graveyard
grey,gray
toll,Great
großartig,Great
großes,great
toller,great
tolles,great
tollen,great
großartige,great
großer,greater
größer,greater
größte,greatest
grünen,green
grüne,green
grün,green
grüße,greetings
aufgewachsen,grew up
ächzt,groans
boden,ground
gruppe,group
knurrt,growling
gewachsen,grown
erwachsen,grown up
wächst,grows
garantiert,guaranteed
wache,guard
wächter,Guardian
raten,guess
gast,guest
gäste,Guests
führung,guide
geführt,guided
schuldig,guilty
gewehr,gun
kerl,Guy
jungs,guys
kerle,guys
h,H
ha,Ha
hatten,had
hätten,had
hättest,had
hattest,had
gehabt,had
mussten,had
musste,had to
musstest,had to
haare,hair
haar,hair
frisur,hairstyle
hälfte,half
halb,half
halbe,half
halben,half
halbes,half
flur,Hall
heiligen,hallow
zurückgeben,hand back
handschellen,handcuffs
griff,Handle
hände,hands
händen,hands
hängen,hang
hängt,hangs
hans,Hans
passieren,happen
geschah,happened
passierte,happened
passiert,happens
geschieht,happens
glück,happiness
glücklich,happy
glückliche,happy
fröhlich,Happy
fröhliche,happy
hart,hard
harter,harder
harte,hardness
hat,Has
besitzt,has
wurde,has been
beeilt,hastens
luke,hatch
hasse,hate
hass,hate
gehasst,hated
hasst,hates
habe,have
hast,have
habt,have
besitzen,have
müssen,have to
mittagessen,Having lunch
gefahren,hazards
er,he
kopf,head
hauptquartier,headquarters
köpfe,heads
heilen,heal
geheilt,healed
gesundheit,health
gesund,healthy
haufen,heap
hör,hear
höre,hear
hörst,hear
hörte,heard
hörten,heard
hört,hears
herz,heart
herzen,heart
herzinfarkt,Heart attack
hitze,heat
himmels,heaven
schwer,heavy
höhe,height
hohe,height
hielt,held
gehalten,held
hielten,held
hubschrauber,helicopter
hölle,hell
hallo,Hello
helfen,help
hilfe,Help
hilft,help
hilf,help
helfe,help
hilfst,help
helft,help
geholfen,helped
half,helped
hilfreich,helpful
hier,here
her,here
hierher,here
hiermit,herewith
erbe,heritage
held,hero
helden,heroes
he,hey
hi,Hi
versteckt,hidden
verstecken,hide
verbergen,hide
versteck,hideout
hoch,high
hohen,high
highschool,high school
höher,higher
höchste,highest
hoheit,highness
hügel,hill
ihn,him
ihm,him
selber,himself
hinweise,hints
seine,his
seinen,his
seiner,his
seinem,his
seines,his
geschichte,history
traf,hit
triffst,hit
treffer,hit
hauen,hit
hitler,Hitler
hm,Hm
halten,hold
hältst,hold
festhalten,hold tight
loch,hole
heiliger,holy
hollywood,Hollywood
hause,home
heim,home
daheim,home
heimat,homeland
hausaufgaben,homework
ehrlich,honest
ehre,honor
haken,hook
nutte,hooker
hurra,Hooray
hoffe,hope
hoffnung,hope
gehofft,hoped
hoffte,hoped
hoffentlich,hopefully
grausam,horrible
pferd,horse
ross,Horse
reiten,horse riding
pferde,horses
krankenhaus,hospital
geisel,hostage
heiß,hot
geil,hot
stunde,hour
stunden,hours
haus,House
hauses,house
häuser,Houses
wie,how
wieviel,how much
wieso,how so
jedoch,however
heulen,howl
großen,huge
riesige,huge
riesig,huge
hä,huh
menschliche,human
menschlichen,human
menschlich,human
schwul,humid
hundert,hundred
hunderte,hundreds
hungrig,hungry
jagd,hunt
gejagt,hunted
jäger,Hunter
jagt,hunts
eilig,hurried
beeil,hurry
beeilen,hurry
eile,Hurry
beeilung,Hurry up
wehgetan,hurt
wehtun,hurt
ehemann,husband
hütte,hut
ich,I
genau,I agree
einverstanden,I Agree
scheißegal,I do not give a shit
eis,ice
island,Iceland
ahnung,idea
idee,idea
vorstellung,idea
ideen,ideas
ausweis,identification card
identifiziert,identified
identifizieren,identify
identität,identity
schwachsinn,idiocy
idioten,idiot
wenn,if
ob,if
falls,if
miss,ill
krank,ill
krankheit,illness
vorstellen,imagine
sofort,immediately
flehe,implore
bedeutung,importance
