German,English
gemeinsame,common
gemein,common
unternehmen,Companies
firma,company
vergleich,comparison
wettbewerb,competition
komplett,complete
beendet,completed
abgeschlossen,completed
völlig,completely
vollkommen,completely
vollständig,Completely
kompliziert,complicated
kompliment,compliment
computer,computer
besorgt,concerned
betrifft,concerns
bedenken,concerns
konzert,concert
bedingungen,conditions
leiten,conduct
gestehen,confess
geständnis,confession
durcheinander,confused
verwirrt,confused
glückwunsch,congratulation
gratuliere,congratulations
verbinden,connect
verbunden,connected
verbindung,connection
connor,connor
gewissen,conscience
folgen,consequences
konsequenzen,consequences
überlegen,consider
betrachten,consider
überlegt,considered
betrachtet,considered
bestehen,consist
besteht,consists
trost,consolation
ständig,constantly
dauernd,constantly
verfassung,constitution
bau,construction
befragen,consult
kontakt,Contact
weiter,continue
vertrag,contract
gegensatz,contrast
kontrolle,control
kontrolliert,controlled
gespräch,conversation
gespräche,conversations
überzeugt,convinced
kochen,Cook
koch,cook
gekocht,cooked
kekse,Cookies
cool,cool
cooper,cooper
koordinaten,coordinates
cop,cop
bullen,cops
cops,cops
kopie,Copy
ecke,corner
leiche,corpse
leichen,corpses
richtig,correct
korrektur,correction
korrekt,correctly
gang,corridor
kostet,costs
kosten,costs
kostüm,costume
kate,cottage
couch,couch
hustet,coughs
könnte,could
konnte,could
könnten,could
könntest,could
konnten,could
konntest,could
ließen,could
durfte,could
könne,could
könntet,could
rechnen,count
zähle,count
zählen,counting
land,country
landes,country
staat,Country
zählt,counts
county,county
mut,courage
kurs,course
hof,court
cousin,cousin
cousine,cousin
deckung,cover
decken,cover
kuh,cow
feigling,coward
cowboy,cowboy
gemütlich,cozy
knacken,crack
gerissen,cracked
spinner,crackhead
craig,craig
scheiße,crap
beschissen,crappy
kisten,crates
verrückte,crazy
verrückten,crazy
verrückter,crazy
irre,crazy
spinnst,crazy
schaffen,create
schaffe,create
erschaffen,create
geschaffen,created
schafft,creates
schaff,creating
kreatur,creature
bach,creek
unheimlich,creepy
crew,crew
rief,cried
geweint,cried
verbrechen,crime
tatort,crime scene
verbrecher,criminal
krise,crisis
schief,crooked
kreuz,cross
krone,Crown
schreie,cry
weinen,cry
weine,cry
kultur,Culture
tasse,Cup
neugierig,curious
gespannt,curious; excited
laufenden,current
momentan,currently
fluch,curse
verflucht,cursed
curtis,curtis
brauch,custom
kunde,customer
kunden,Customers
getrennt,Cut
schnitt,cut
niedlich,cute
süßer,cutie pie
d,d
dad,dad
daddy,daddy
papi,daddy
daisy,daisy
schaden,damage
beschädigt,damaged
mist,damn
verdammt,damned
verdammte,damned
verdammten,damned
dan,Dan
dana,dana
tanz,dance
tanzt,dances
gefahr,danger
achtung,Danger
gefährlich,dangerous
daniel,Daniel
danny,danny
wagen,dare
dunkel,dark
dunkle,dark
dunklen,dark
dunkeln,dark
dunkelheit,Darkness
daten,Data
data,data
date,date
stammt,dates
tochter,daughter
töchter,daughters
dave,dave
david,David
davis,davis
tag,Day
tages,day
tage,days
de,de
tot,dead
tote,dead
toter,Dead
taub,deaf
deal,deal
zurecht,deal
dean,dean
lieber,Dear
lieb,dear
liebes,dear
tod,death
todes,death
tode,Deaths
betrüger,deceiver
anständig,decent
entscheiden,decide
entscheide,decide
entschieden,decided
beschlossen,decided
entscheidet,decides
entscheidung,decision
bescheid,decision
entscheidungen,decisions
deck,deck
erkläre,declare
abgelehnt,declined
tief,deep
besiegen,defeat
besiegt,defeated
verteidigen,defend
verteidigung,defense
definitiv,definitely
sicherlich,definitely
grad,Degree
verspätung,delay
gelöscht,deleted
bewusst,deliberately
köstlich,delicious
lecker,delicious
liefern,deliver
geliefert,delivered
lieferung,delivery
verlange,demand
dämon,demon
damon,demon
dämonen,demons
zeigen,demonstrate
bewiesen,demonstrated
dennis,dennis
abteilung,Department
einsetzen,deploy
kaution,deposit
tiefe,depth
derek,derek
beschreiben,describe
beschreibung,description
wüste,desert
verdiene,deserve
verlangen,desire
verzweifelt,desperate
vernichten,destroy
zerstört,destroyed
vernichtet,destroyed
zerstörung,destruction
details,details
erkennen,detect
detective,detective
bestimmen,determine
entschlossen,determined
entwickeln,develop
entwickelt,developed
entwicklung,development
gerät,device
geraten,devices
teufel,devil
dexter,dexter
diamanten,diamonds
diana,Diana
diane,diane
tagebuch,diary
tat,did
that,did
sterbe,die
stirbst,die
stirb,die
gestorben,died
starb,died
starben,died
diego,Diego
stirbt,dies
unterschied,difference
anders,different
verschiedenen,different
schwierig,difficult
grab,dig
graben,dig
dinger,dinger
abendessen,dinner
richtung,direction
direkt,directly
direktor,director
regisseur,Director
dreck,dirt
versaut,dirty
schmutzig,dirty
mistkerl,dirty swine
verschwinden,disappear
verschwinde,disappear
verschwunden,disappeared
verschwand,disappeared
verschwindet,disappears
enttäuschen,disappoint
enttäuscht,disappointed
abhalten,discourage
entdecken,discover
entdeckt,discovered
besprechen,discuss
besprochen,discussed
diskussion,discussion
widerlich,disgusting
ekelhaft,disgusting
eklig,disgusting
gericht,dish
entlassen,dismiss
störung,disorder
verzichten,dispense
anzeige,display
verfügung,disposal
abstand,distance
entfernung,distance
not,distress
verteilt,distributed
gestört,disturbed
stört,disturbs
taucht,dive
teilen,divide
scheidung,divorce
scheiden,divorce
geschieden,divorced
dna,dna
machen,do
tust,do
tue,do
do,do
anstellen,do
antun,do to
doc,doc
doktor,doctor
arzt,doctor
doctor,doctor
ärztin,doctor
ärzte,doctors
unterlagen,documents
dokumente,Documents
tut,does
hund,dog
hunde,dogs
machst,doing
taten,doings
puppe,Doll
dollar,dollar
don,Don
spenden,donate
getan,done
geschehen,done
erledigt,done
geleistet,done
angetan,done
donna,donna
tür,door
türen,doors
doppelt,double
zweifel,doubt
bezweifle,doubt
doug,doug
hin,down
runter,down
dutzend,dozen
dr.,dr.
drachen,dragon
drama,drama
dramatische,dramatic
trank,drank
nähern,draw closer
lade,drawer
gezogen,drawn
schrecklich,dreadful
traum,dream
träumen,dream
geträumt,dreamed
träume,dreams
kleid,dress
kleidung,dress
zog,drew
trinken,drink
drink,drink
trinke,drink
trinkst,drink
trink,drinking
trinkt,drinking
drinks,drinks
fahren,drive
getrieben,driven
fahrer,driver
führerschein,driver's license
treibt,drives
fahr,driving
tropfen,drops
fuhr,drove
medikamente,drug
drogen,drugs
drum,drum
betrunken,drunk
getrunken,drunk
trocken,dry
kumpel,Dude
duke,duke
herzog,duke
blödmann,dumbass
dummer,dumber
bestand,duration
staub,dust
dylan,dylan
e,e
jeden,each
jede,each
jedes,each
jedem,each
einzelnen,each
einander,each other
gegenseitig,each other
ohr,ear
earl,earl
graf,earl
früher,earlier
vorhin,earlier
früh,early
verdient,earned
verdienst,earnings
ohren,ears
erde,earth
erden,earth
einfacher,easier
osten,east
einfache,easy
essen,eat
esse,eat
fressen,eat
gegessen,eaten
isst,eats
frisst,eats
ed,ed
eddie,eddie
rand,edge
studiert,educated
edward,edward
wirkung,effect
mühe,effort
ei,egg
eier,eggs
eh,eh
acht,eight
achte,eighth
entweder,either
el,el
vergehen,elapse
kabel,electric wire
strom,electricity
elena,elena
aufzug,elevator
elf,eleven
elizabeth,elizabeth
ellen,ellen
ellie,ellie
verlegen,embarrassed
peinlich,embarrassing
botschaft,Embassy
notfall,emergency
emily,Emily
emma,emma
bewegt,emotional
gefühle,emotions
kaiser,Emperor
beschäftigt,employed
angestellt,employed
mitarbeiter,Employee
leer,empty
leere,empty
ende,end
enden,end up
endet,ends
aufhört,ends
feinde,enemies
feind,enemy
energie,energy
verlobt,engaged
motor,engine
england,England
Deutsch,English
englisch,English
engländer,English people
genießen,enjoy
angenehm,enjoyable
genossen,enjoyed
genug,enough
reicht,enough
schluss,Enough
genügt,enough
genügend,enough
eingehen,enter
einsteigen,enter
enterprise,enterprise
unterhaltung,entertainment
eingang,entrance
folge,episode
gleich,equal
gleichen,equal
ausrüstung,equipment
eric,eric
erin,erin
fehler,error
entkommen,escape
abgehauen,escape
besonders,especially
gründen,establish
schätzen,estimate
ewigkeit,eternity
ethan,ethan
euro,Euro
europa,Europe
eva,eva
abend,Eve
sogar,even
ereignisse,events
je,ever
jemals,ever
täglich,Every day
jeder,everyone
alles,everything
böse,evil
übel,evil
ex,ex
übertrieben,exaggerated
prüfung,exam
untersuchung,examination
untersucht,examined
beispiel,example
exzellenz,excellency
ausgezeichnet,excellent
außer,except
ausnahme,exception
aufgeregt,excited
begeistert,excited
aufregung,excitement
spannende,exciting
aufregend,exciting
ausflug,Excursion
entschuldigung,Excuse me
entschuldige,Excuse me
ausreden,excuses
befreit,exempt
übung,exercise
erschöpft,exhausted
existieren,exist
existenz,existence
ausgang,exit
erwarten,expect
erwarte,expect
erwartest,expect
werd,expectant
erwartet,expected
teuer,expensive
erfahrung,Experience
erleben,experience
erfahren,Experienced
erlebt,experienced
experiment,experiment
erklärt,explained
erklärung,Explanation
erklär,explanatory
explodiert,explodes
explosion,explosion
ausgesetzt,exposed
ausdruck,Expression
extra,extra
extrem,extreme
äußerst,extremely
ey,ey
auge,eye
augen,eyes
fabelhaft,fabulous
gesicht,face
gesichter,faces
erleichtert,facilitated
tatsache,fact
fabrik,factory
fakten,facts
versagt,failed
versager,failure
fair,fair
märchen,fairy tale
glaube,faith
fallen,fall
stürzen,fall
verlieben,falling in love
fällt,falls
falsche,false
falschen,false
falsches,false
ruhm,Fame
vertraut,familiar
familie,family
familien,Familys
berühmt,famous
fan,fan
schick,fancy
fantastisch,fantastic
fantasie,fantasy
weit,far
abschied,farewell
farm,farm
bauer,Farmer
bauern,farmers
weiterhin,Farther
faszinierend,fascinating
schnell,fast
schnelle,fast
fett,fat
schicksal,fate
vater,father
papa,father
vaters,father
pater,father
väter,fathers
schuld,fault
liebling,favorite
liebsten,favorite
liebste,favorite
fbi,fbi
angst,fear
fürchte,fear
furcht,fear
befürchte,fear
satt,Fed up
füttern,feed
fühle,feel
fühlen,feel
fühlst,feel
spüren,feel
spüre,feel
gefühl,feeling
fühl,feeling
fühlt,feels
füße,feet
füßen,feet
felix,felix
fiel,fell
schlief,fell asleep
eingeschlafen,fell asleep
bursche,fellow
gefühlt,felt
fühlte,felt
zaun,fence
fieber,fever
wenige,few
wenigen,few
feld,field
kämpfen,fight
streiten,fight
kämpfe,fight
kämpft,fight
bekämpfen,fight
kämpfer,fighter
figur,figure
akte,file
akten,files
filmen,film
endgültig,finally
finden,Find
finde,find
findest,find
herausfinden,find out
rausfinden,find out
findet,finds
prima,fine
fein,fine
bestraft,fined
finger,finger
fingerabdrücke,fingerprints
fertig,finished
finn,finn
feuer,Fire
brand,fire
gefeuert,fired
fest,firmly
erst,first
erste,first
ersten,first
zuerst,first
erster,first
erstes,first
erstens,first
zunächst,first
fisch,fish
fische,fishes
fang,fishing
angeln,fishing
angel,fishing rod
faust,fist
passt,fit
passen,fit
fünf,five
flammen,Flames
klappe,flap
wohnung,flat
geflohen,fled
fliehen,flee
flotte,fleet
fleisch,flesh
flog,flew
fliegt,flies
flucht,flight
flug,flight
treiben,float
stock,floor
florida,Florida
fluss,flow
blume,flower
blumen,flowers
geflogen,flown
fliege,Fly
konzentrieren,focus
nebel,fog
geklappt,folded
klappt,folds
verfolgen,follow
gefolgt,followed
folgendes,following
folgt,follows
nahrung,food
dummkopf,fool
narren,fool
narr,fool
fuß,foot
football,football
für,For
fürs,for
for,for
umsonst,for free
erstmal,for now
zurzeit,for now
sicher,for sure
dafür,for this
wofür,for what
jahrelang,for years
verboten,forbidden
kraft,force
gezwungen,forced
ford,ford
stirn,forehead
fremde,foreign
fremder,foreign
ausland,foreign countries
wald,Forest
ewig,forever
vergiss,forget
vergesse,forget
vergesst,forget
vergisst,forgets
verzeihen,forgive
verzeih,forgive
vergib,forgive
vergeben,forgive
verzeihung,forgiveness
vergebung,forgiveness
verzeiht,forgives
vergaß,forgot
bilden,form
glücklicher,fortunately
vorwärts,forward
gekämpft,fought
gestritten,fought
gefunden,found
fand,found
fanden,found
herausgefunden,found out
brunnen,Fountain
vier,four
frankreich,France
francis,francis
francisco,francisco
frank,frank
frankie,frankie
freak,freak
fred,fred
frei,free
freie,free
freier,free
freien,free
freiheit,freedom
französisch,French
franz,French
franzosen,French people
frisch,fresh
frische,fresh
freitag,Friday
kühlschrank,fridge
freund,friend
freundlich,friendly
befreundet,friendly
freunde,friends
freunden,friends
freundschaft,Friendship
erschreckt,frightened
ab,from
vom,from
davon,from that
daraus,from that
woher,from where
vorn,front
vorm,front
front,front
matt,frosted
fick,fuck
fuck,fuck
ficken,fuck
vögeln,fuck
gefickt,fucked
verdammter,fucking
verdammtes,fucking
erfüllen,fulfill
erfüllt,Fulfills
voll,full
volle,full
voller,full of
spaß,fun
funktionieren,function
beerdigung,funeral
lustig,funny
komisch,funny
witzig,funny
weitere,Further
wut,fury
zukunft,future
g,G
spiel,game
spiele,games
gangster,gangster
garage,garage
garten,garden
gary,gary
gas,gas
tor,gate
gab,gave
general,general
generation,generation
großzügig,generously
genie,genius
gentleman,gentleman
gentlemen,gentlemen
sachte,gently
sanft,gently
george,George
deutsche,German
deutschen,German
deutsch,German
german,German
deutschland,Germany
komme,get
hole,get
holt,get
kriegst,get
bekomme,get
bekommst,get
aussteigen,get out
loswerden,Get rid of
besorge,get you
bekommt,gets
kriegt,gets
geist,ghost
geister,ghosts
riesigen,giant
riesen,Giants
geschenk,gift
gabe,gift
gaben,gifts
geschenke,gifts
mädchen,girl
mädel,girl
girl,girl
freundin,girlfriend
freundinnen,girlfriends
mädels,girls
geben,give
gib,give
gebe,give
gibst,give
gebt,give
schenken,give
geb,give
gegeben,given
geschenkt,given
aufgegeben,given up
gibt,gives
froh,glad
gern,gladly
glas,Glass
brille,glasses
gloria,gloria
herrlich,gloriously
gehen,go
geh,go
gehe,go
go,go
hingehen,go forth
reingehen,go in
weitergehen,go on
rausgehen,go out
ausgehen,go out
durchgehen,go through
gott,God
gottes,god
götter,gods
geht,going
gehst,going
gold,gold
goldene,golden
guten,good
gutes,good
guter,goods
gordon,gordon
bekam,got
bekamen,got
gekriegt,got
kapiert,Got it
geheiratet,got married
muss,got to
muß,got to
regierung,government
gouverneur,governor
schnappen,grab
packt,grabs
gnade,grace
grace,grace
grade,grade
noten,grades
abschluss,graduation
großvater,grandfather
grandma,grandma
großmutter,grandmother
opa,Grandpa
grandpa,grandpa
enkel,grandson
grant,grant
oma,granny
gras,grass
dankbar,grateful
friedhof,graveyard
grey,gray
toll,Great
großartig,Great
großes,great
toller,great
tolles,great
tollen,great
großartige,great
großer,greater
größer,greater
größte,greatest
grünen,green
green,green
grüne,green
grün,green
grüße,greetings
greg,greg
aufgewachsen,grew up
ächzt,groans
boden,ground
gruppe,group
group,group
knurrt,growling
gewachsen,grown
erwachsen,grown up
wächst,grows
grüß,grüß
garantiert,guaranteed
wache,guard
wächter,Guardian
raten,guess
gast,guest
gäste,Guests
führung,guide
geführt,guided
schuldig,guilty
gewehr,gun
gus,gus
kerl,Guy
jungs,guys
kerle,guys
h,H
ha,Ha
hab,hab
hatten,had
hätten,had
hättest,had
hattest,had
gehabt,had
mussten,had
musste,had to
musstest,had to
haare,hair
